oh_105842,Atlantic,6.0
oh_105842,Gulf of Mexico,6.0
oh_105842,Pacific,8.0
oh_105858,Pacific,6.0
oh_105858,Atlantic,8.0
oh_105858,Gulf of Mexico,8.0
oh_105906,Atlantic,6.0
oh_105906,Gulf of Mexico,8.0
oh_137017,Atlantic,2.0
oh_137017,Gulf of Mexico,3.0
oh_137087,Gulf of Mexico,6.0
oh_137087,Atlantic,2.0
oh_137087,Pacific,5.0
oh_137088,Gulf of Mexico,6.0
oh_137088,Pacific,6.0
oh_137088,Atlantic,2.0
oh_137090,Gulf of Mexico,6.0
oh_137090,Atlantic,2.0
oh_137090,Pacific,5.0
oh_137091,Atlantic,2.0
oh_137091,Gulf of Mexico,2.0
oh_137091,Pacific,5.0
oh_137092,Gulf of Mexico,6.0
oh_137092,Atlantic,2.0
oh_137092,Pacific,5.0
oh_137094,Gulf of Mexico,6.0
oh_137094,Atlantic,2.0
oh_137094,Pacific,5.0
oh_137095,Pacific,6.0
oh_137095,Atlantic,2.0
oh_137095,Gulf of Mexico,2.0
oh_137096,Pacific,6.0
oh_137096,Atlantic,2.0
oh_137096,Gulf of Mexico,2.0
oh_137098,Atlantic,2.0
oh_137098,Gulf of Mexico,2.0
oh_137098,Pacific,5.0
oh_137099,Pacific,6.0
oh_137099,Atlantic,2.0
oh_137099,Gulf of Mexico,2.0
oh_137101,Gulf of Mexico,6.0
oh_137101,Atlantic,2.0
oh_137102,Pacific,6.0
oh_137102,Atlantic,2.0
oh_137102,Gulf of Mexico,2.0
oh_137103,Pacific,6.0
oh_137103,Atlantic,2.0
oh_137103,Gulf of Mexico,2.0
oh_137104,Pacific,6.0
oh_137104,Atlantic,2.0
oh_137104,Gulf of Mexico,2.0
oh_137105,Pacific,6.0
oh_137105,Atlantic,2.0
oh_137105,Gulf of Mexico,2.0
oh_137107,Atlantic,2.0
oh_137107,Gulf of Mexico,2.0
oh_137107,Pacific,5.0
oh_137109,Pacific,6.0
oh_137109,Atlantic,2.0
oh_137109,Gulf of Mexico,2.0
oh_137110,Pacific,6.0
oh_137110,Atlantic,2.0
oh_137110,Gulf of Mexico,2.0
oh_137111,Atlantic,2.0
oh_137111,Gulf of Mexico,2.0
oh_137111,Pacific,5.0
oh_137117,Gulf of Mexico,6.0
oh_137117,Pacific,6.0
oh_137117,Atlantic,2.0
oh_137119,Pacific,6.0
oh_137119,Atlantic,2.0
oh_137119,Gulf of Mexico,2.0
oh_137127,Gulf of Mexico,6.0
oh_137127,Pacific,6.0
oh_137127,Atlantic,2.0
oh_137205,Pacific,6.0
oh_137205,Atlantic,3.0
oh_137205,Gulf of Mexico,3.0
oh_137206,Atlantic,3.0
oh_137206,Gulf of Mexico,3.0
oh_137206,Pacific,8.0
oh_137207,Atlantic,6.0
oh_137207,Gulf of Mexico,6.0
oh_137207,Pacific,8.0
oh_137209,Pacific,6.0
oh_137209,Atlantic,3.0
oh_137209,Gulf of Mexico,3.0
oh_157967,Atlantic,6.0
oh_157967,Gulf of Mexico,8.0
oh_158530,Atlantic,6.0
oh_158530,Gulf of Mexico,8.0
oh_158552,Atlantic,6.0
oh_158552,Gulf of Mexico,8.0
oh_158670,Atlantic,6.0
oh_158670,Gulf of Mexico,6.0
oh_158670,Pacific,8.0
oh_159023,Gulf of Mexico,6.0
oh_159023,Atlantic,2.0
oh_215608,Pacific,6.0
oh_215608,Atlantic,8.0
oh_215608,Gulf of Mexico,8.0
oh_242603,Pacific,6.0
oh_242603,Atlantic,2.0
oh_242603,Gulf of Mexico,2.0
oh_281542,Pacific,6.0
oh_281542,Atlantic,8.0
oh_343899,Gulf of Mexico,6.0
oh_343899,Atlantic,2.0
oh_382842,Atlantic,6.0
oh_382842,Gulf of Mexico,8.0
oh_1571853,Gulf of Mexico,6.0
oh_1571853,Atlantic,2.0
