/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/rl_105787.tif,rl_105787,rl,105787,1.0,100.0,,,8.0,false,
/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/rl_105788.tif,rl_105788,rl,105788,1.0,100.0,,,8.0,false,
/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/rl_105789.tif,rl_105789,rl,105789,1.0,100.0,,,8.0,false,
/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/rl_105790.tif,rl_105790,rl,105790,1.0,100.0,,,8.0,false,
/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/rl_105791.tif,rl_105791,rl,105791,1.0,100.0,,,8.0,false,
/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/rl_105792.tif,rl_105792,rl,105792,1.0,100.0,,,8.0,false,
/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/rl_105793.tif,rl_105793,rl,105793,1.0,100.0,,,8.0,false,
/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/rl_105794.tif,rl_105794,rl,105794,1.0,100.0,,,8.0,false,
/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/rl_105796.tif,rl_105796,rl,105796,1.0,100.0,,,8.0,false,
/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/rl_105797.tif,rl_105797,rl,105797,1.0,100.0,,,8.0,false,
/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/rl_105798.tif,rl_105798,rl,105798,1.0,100.0,,,8.0,false,
/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/rl_105799.tif,rl_105799,rl,105799,1.0,100.0,,,8.0,false,
/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/rl_105801.tif,rl_105801,rl,105801,1.0,100.0,,,8.0,false,
/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/rl_105805.tif,rl_105805,rl,105805,1.0,100.0,,,8.0,false,
/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/rl_105808.tif,rl_105808,rl,105808,1.0,100.0,,,8.0,false,
/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/rl_105809.tif,rl_105809,rl,105809,1.0,100.0,,,8.0,false,
/Users/bbest/My Drive/projects/offhab/data/derived/lyrs_tif/rl_105817.tif,rl_105817,rl,105817,1.0,100.0,,,8.0,false,
