row_id,sp_code,region,seasons,n_seasons,tifs
48,LAGU,Atlantic,fall;spring;summer;winter,4,LAGU_fall_predicted_relative_density_bootstrap_QUANT_50.tif;LAGU_spring_predicted_relative_density_bootstrap_QUANT_50.tif;LAGU_summer_predicted_relative_density_bootstrap_QUANT_50.tif;LAGU_winter_predicted_relative_density_bootstrap_QUANT_50.tif
49,LESP,Atlantic,fall;spring;summer,3,LESP_fall_predicted_relative_density_bootstrap_QUANT_50.tif;LESP_spring_predicted_relative_density_bootstrap_QUANT_50.tif;LESP_summer_predicted_relative_density_bootstrap_QUANT_50.tif
50,LESP,Pacific,fall;spring;summer;winter,4,LESP_fall_predicted_density.tif;LESP_spring_predicted_density.tif;LESP_summer_predicted_density.tif;LESP_winter_predicted_density.tif
51,LETE,Atlantic,fall;summer,2,LETE_fall_predicted_relative_density_bootstrap_QUANT_50.tif;LETE_summer_predicted_relative_density_bootstrap_QUANT_50.tif
52,LOON,Pacific,fall;spring;summer;winter,4,LOON_fall_predicted_density.tif;LOON_spring_predicted_density.tif;LOON_summer_predicted_density.tif;LOON_winter_predicted_density.tif
53,LTDU,Atlantic,fall;spring;winter,3,LTDU_fall_predicted_relative_density_bootstrap_QUANT_50.tif;LTDU_spring_predicted_relative_density_bootstrap_QUANT_50.tif;LTDU_winter_predicted_relative_density_bootstrap_QUANT_50.tif
54,MAMU,Pacific,spring;summer,2,MAMU_spring_predicted_density.tif;MAMU_summer_predicted_density.tif
55,MASH,Atlantic,fall;spring;summer,3,MASH_fall_predicted_relative_density_bootstrap_QUANT_50.tif;MASH_spring_predicted_relative_density_bootstrap_QUANT_50.tif;MASH_summer_predicted_relative_density_bootstrap_QUANT_50.tif
56,MUPE,Pacific,spring,1,MUPE_spring_predicted_density.tif
57,NOFU,Atlantic,fall;spring;summer;winter,4,NOFU_fall_predicted_relative_density_bootstrap_QUANT_50.tif;NOFU_spring_predicted_relative_density_bootstrap_QUANT_50.tif;NOFU_summer_predicted_relative_density_bootstrap_QUANT_50.tif;NOFU_winter_predicted_relative_density_bootstrap_QUANT_50.tif
58,NOFU,Pacific,fall;spring;summer;winter,4,NOFU_fall_predicted_density.tif;NOFU_spring_predicted_density.tif;NOFU_summer_predicted_density.tif;NOFU_winter_predicted_density.tif
59,NOGA,Atlantic,fall;spring;summer;winter,4,NOGA_fall_predicted_relative_density_bootstrap_QUANT_50.tif;NOGA_spring_predicted_relative_density_bootstrap_QUANT_50.tif;NOGA_summer_predicted_relative_density_bootstrap_QUANT_50.tif;NOGA_winter_predicted_relative_density_bootstrap_QUANT_50.tif
60,PAJA,Atlantic,fall;spring;summer,3,PAJA_fall_predicted_relative_density_bootstrap_QUANT_50.tif;PAJA_spring_predicted_relative_density_bootstrap_QUANT_50.tif;PAJA_summer_predicted_relative_density_bootstrap_QUANT_50.tif
61,PAJA-LTJA,Pacific,fall;spring;summer,3,PAJA-LTJA_fall_predicted_density.tif;PAJA-LTJA_spring_predicted_density.tif;PAJA-LTJA_summer_predicted_density.tif
62,PECO,Pacific,spring;summer,2,PECO_spring_predicted_density.tif;PECO_summer_predicted_density.tif
63,PFSH,Pacific,fall;spring;summer,3,PFSH_fall_predicted_density.tif;PFSH_spring_predicted_density.tif;PFSH_summer_predicted_density.tif
64,PHAL,Pacific,fall;spring;summer;winter,4,PHAL_fall_predicted_density.tif;PHAL_spring_predicted_density.tif;PHAL_summer_predicted_density.tif;PHAL_winter_predicted_density.tif
65,PIGU,Pacific,spring;summer,2,PIGU_spring_predicted_density.tif;PIGU_summer_predicted_density.tif
66,POJA,Atlantic,fall;spring;summer,3,POJA_fall_predicted_relative_density_bootstrap_QUANT_50.tif;POJA_spring_predicted_relative_density_bootstrap_QUANT_50.tif;POJA_summer_predicted_relative_density_bootstrap_QUANT_50.tif
67,POJA,Pacific,fall;spring;summer;winter,4,POJA_fall_predicted_density.tif;POJA_spring_predicted_density.tif;POJA_summer_predicted_density.tif;POJA_winter_predicted_density.tif
68,RAZO,Atlantic,fall;spring;summer;winter,4,RAZO_fall_predicted_relative_density_bootstrap_QUANT_50.tif;RAZO_spring_predicted_relative_density_bootstrap_QUANT_50.tif;RAZO_summer_predicted_relative_density_bootstrap_QUANT_50.tif;RAZO_winter_predicted_relative_density_bootstrap_QUANT_50.tif
69,RBGU,Atlantic,fall;spring;summer;winter,4,RBGU_fall_predicted_relative_density_bootstrap_QUANT_50.tif;RBGU_spring_predicted_relative_density_bootstrap_QUANT_50.tif;RBGU_summer_predicted_relative_density_bootstrap_QUANT_50.tif;RBGU_winter_predicted_relative_density_bootstrap_QUANT_50.tif
70,RBME,Atlantic,spring;winter,2,RBME_spring_predicted_relative_density_bootstrap_QUANT_50.tif;RBME_winter_predicted_relative_density_bootstrap_QUANT_50.tif
71,REPH,Atlantic,fall;spring;summer,3,REPH_fall_predicted_relative_density_bootstrap_QUANT_50.tif;REPH_spring_predicted_relative_density_bootstrap_QUANT_50.tif;REPH_summer_predicted_relative_density_bootstrap_QUANT_50.tif
72,RHAU,Pacific,fall;spring;summer;winter,4,RHAU_fall_predicted_density.tif;RHAU_spring_predicted_density.tif;RHAU_summer_predicted_density.tif;RHAU_winter_predicted_density.tif
73,RNPH,Atlantic,fall;spring;summer,3,RNPH_fall_predicted_relative_density_bootstrap_QUANT_50.tif;RNPH_spring_predicted_relative_density_bootstrap_QUANT_50.tif;RNPH_summer_predicted_relative_density_bootstrap_QUANT_50.tif
74,ROST,Atlantic,fall;spring;summer,3,ROST_fall_predicted_relative_density_bootstrap_QUANT_50.tif;ROST_spring_predicted_relative_density_bootstrap_QUANT_50.tif;ROST_summer_predicted_relative_density_bootstrap_QUANT_50.tif
75,ROYT,Atlantic,fall;spring;summer,3,ROYT_fall_predicted_relative_density_bootstrap_QUANT_50.tif;ROYT_spring_predicted_relative_density_bootstrap_QUANT_50.tif;ROYT_summer_predicted_relative_density_bootstrap_QUANT_50.tif
76,ROYT-ELTE,Pacific,fall;spring;summer,3,ROYT-ELTE_fall_predicted_density.tif;ROYT-ELTE_spring_predicted_density.tif;ROYT-ELTE_summer_predicted_density.tif
77,RTLO,Atlantic,fall;spring;winter,3,RTLO_fall_predicted_relative_density_bootstrap_QUANT_50.tif;RTLO_spring_predicted_relative_density_bootstrap_QUANT_50.tif;RTLO_winter_predicted_relative_density_bootstrap_QUANT_50.tif
78,RTLO,Pacific,spring;summer,2,RTLO_spring_predicted_density.tif;RTLO_summer_predicted_density.tif
79,SAGU,Pacific,fall;spring;summer,3,SAGU_fall_predicted_density.tif;SAGU_spring_predicted_density.tif;SAGU_summer_predicted_density.tif
80,SCMU-GUMU-CRMU,Pacific,spring,1,SCMU-GUMU-CRMU_spring_predicted_density.tif
81,SCOT,Pacific,fall;spring;summer;winter,4,SCOT_fall_predicted_density.tif;SCOT_spring_predicted_density.tif;SCOT_summer_predicted_density.tif;SCOT_winter_predicted_density.tif
82,SOSH,Atlantic,fall;spring;summer,3,SOSH_fall_predicted_relative_density_bootstrap_QUANT_50.tif;SOSH_spring_predicted_relative_density_bootstrap_QUANT_50.tif;SOSH_summer_predicted_relative_density_bootstrap_QUANT_50.tif
83,SOTE,Atlantic,spring;summer,2,SOTE_spring_predicted_relative_density_bootstrap_QUANT_50.tif;SOTE_summer_predicted_relative_density_bootstrap_QUANT_50.tif
84,SPSK,Atlantic,fall;summer,2,SPSK_fall_predicted_relative_density_bootstrap_QUANT_50.tif;SPSK_summer_predicted_relative_density_bootstrap_QUANT_50.tif
85,SPSK,Pacific,fall,1,SPSK_fall_predicted_density.tif
86,STTS-SOSH-FFSH,Pacific,fall;spring;summer;winter,4,STTS-SOSH-FFSH_fall_predicted_density.tif;STTS-SOSH-FFSH_spring_predicted_density.tif;STTS-SOSH-FFSH_summer_predicted_density.tif;STTS-SOSH-FFSH_winter_predicted_density.tif
87,SUSC,Atlantic,fall;spring;winter,3,SUSC_fall_predicted_relative_density_bootstrap_QUANT_50.tif;SUSC_spring_predicted_relative_density_bootstrap_QUANT_50.tif;SUSC_winter_predicted_relative_density_bootstrap_QUANT_50.tif
88,TBMU,Atlantic,spring;winter,2,TBMU_spring_predicted_relative_density_bootstrap_QUANT_50.tif;TBMU_winter_predicted_relative_density_bootstrap_QUANT_50.tif
89,TUPU,Pacific,spring;summer,2,TUPU_spring_predicted_density.tif;TUPU_summer_predicted_density.tif
90,WEGR-CLGR,Pacific,fall;spring;winter,3,WEGR-CLGR_fall_predicted_density.tif;WEGR-CLGR_spring_predicted_density.tif;WEGR-CLGR_winter_predicted_density.tif
91,WEGU-WGWH-GWGU,Pacific,fall;spring;summer;winter,4,WEGU-WGWH-GWGU_fall_predicted_density.tif;WEGU-WGWH-GWGU_spring_predicted_density.tif;WEGU-WGWH-GWGU_summer_predicted_density.tif;WEGU-WGWH-GWGU_winter_predicted_density.tif
92,WISP,Atlantic,fall;spring;summer,3,WISP_fall_predicted_relative_density_bootstrap_QUANT_50.tif;WISP_spring_predicted_relative_density_bootstrap_QUANT_50.tif;WISP_summer_predicted_relative_density_bootstrap_QUANT_50.tif
93,WWSC,Atlantic,fall;spring;winter,3,WWSC_fall_predicted_relative_density_bootstrap_QUANT_50.tif;WWSC_spring_predicted_relative_density_bootstrap_QUANT_50.tif;WWSC_winter_predicted_relative_density_bootstrap_QUANT_50.tif
