taxonid,scientific_name,subspecies,rank,subpopulation,category
194,Achatinella pulcherrima,NA,NA,NA,CR
195,Achatinella pupukanioe,NA,NA,NA,CR
197,Achatinella sowerbyana,NA,NA,NA,CR
198,Achatinella spaldingi,NA,NA,NA,EX
199,Achatinella stewartii,NA,NA,NA,CR
200,Achatinella swiftii,NA,NA,NA,CR
201,Achatinella taeniolata,NA,NA,NA,CR
202,Achatinella thaanumi,NA,NA,NA,EX
203,Achatinella turgida,NA,NA,NA,CR
204,Achatinella valida,NA,NA,NA,EX
205,Achatinella viridans,NA,NA,NA,CR
207,Achatinella vulpina,NA,NA,NA,CR
202909,Achillea millefolium,NA,NA,NA,LC
193273,Achirus lineatus,NA,NA,NA,LC
44074,Achyranthes atollensis,NA,NA,NA,EX
44075,Achyranthes mutica,NA,NA,NA,CR
44145,Achyranthes splendens,NA,NA,NA,VU
44147,Achyranthes splendens var. rotundata,rotundata,var.,NA,CR
44146,Achyranthes splendens var. splendens,splendens,var.,NA,VU
222,Acipenser brevirostrum,NA,NA,NA,VU
97436417,Acipenser brevirostrum Connecticut subpopulation,NA,NA,Connecticut subpopulation,VU
97436447,Acipenser brevirostrum Delaware/Chesapeake Bay subpopulation,NA,NA,Delaware/Chesapeake Bay subpopulation,VU
97436413,Acipenser brevirostrum Gulf of Maine subpopulation,NA,NA,Gulf of Maine subpopulation,VU
97436427,Acipenser brevirostrum Hudson subpopulation,NA,NA,Hudson subpopulation,VU
97436466,Acipenser brevirostrum N to S Carolina subpopulation,NA,NA,N to S Carolina subpopulation,EN
97436475,Acipenser brevirostrum Southeast subpopulation,NA,NA,Southeast subpopulation,VU
223,Acipenser fulvescens,NA,NA,NA,EN
100093235,Acipenser fulvescens Churchill River watershed subpopulation,NA,NA,Churchill River watershed subpopulation,CR
100093936,Acipenser fulvescens Great Lakes – St. Lawrence watershed subpopulation,NA,NA,Great Lakes – St. Lawrence watershed subpopulation,EN
100094027,Acipenser fulvescens Mississippi River watershed subpopulation,NA,NA,Mississippi River watershed subpopulation,CR
98392031,Acipenser fulvescens Nelson River watershed subpopulation,NA,NA,Nelson River watershed subpopulation,CR
233,Acipenser medirostris,NA,NA,NA,EN
97432621,Acipenser medirostris Northern DPS subpopulation,NA,NA,Northern DPS subpopulation,VU
97432665,Acipenser medirostris Southern DPS subpopulation,NA,NA,Southern DPS subpopulation,EN
245,Acipenser oxyrinchus,NA,NA,NA,VU
216648039,Acipenser oxyrinchus Canadian Maritime subpopulation,NA,NA,Canadian Maritime subpopulation,VU
216648226,Acipenser oxyrinchus Carolina subpopulation,NA,NA,Carolina subpopulation,EN
216648271,Acipenser oxyrinchus Chesapeake Bay subpopulation,NA,NA,Chesapeake Bay subpopulation,VU
216648437,Acipenser oxyrinchus Gulf of Maine subpopulation,NA,NA,Gulf of Maine subpopulation,VU
216648499,Acipenser oxyrinchus New York Bight subpopulation,NA,NA,New York Bight subpopulation,VU
216648545,Acipenser oxyrinchus South Atlantic subpopulation,NA,NA,South Atlantic subpopulation,EN
242,Acipenser oxyrinchus ssp. desotoi,desotoi,ssp.,NA,EN
243,Acipenser oxyrinchus ssp. oxyrinchus,oxyrinchus,ssp.,NA,VU
234,Acipenser transmontanus,NA,NA,NA,VU
